timestamp,occupancy_rate,active_sensors,avg_time_since_change,avg_prev_state_duration,dow,time_bucket,dow_time_bucket,is_weekend,is_holiday,hour_sin,hour_cos,dow_sin,dow_cos,roll_occ_rate_4,roll_turnover_4,roll_occ_rate_12,roll_turnover_12,roll_occ_rate_24,roll_turnover_24,roll_departure_rate_4,occupancy_lag_1,occupancy_lag_4,occupancy_lag_12,occupancy_lag_96,load_level_code,load_level
2035-01-01T00:00:00Z,0.40010764,155.0,812.94916124,1700.87520088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.40010764,0.0,0.40010764,0.0,0.40010764,0.0,0.0,0.40010764,0.40010764,0.40010764,0.40010764,0,low
2035-01-01T00:15:00Z,0.42521902,154.0,834.63225985,1671.32784524,0.0,1.0,1.0,0.0,0.0,0.06540313,0.99785892,0.0,1.0,0.41266333,1.3392738,0.41266333,1.3392738,0.41266333,1.3392738,0.0,0.40010764,0.40010764,0.40010764,0.40010764,0,low
2035-01-01T00:30:00Z,0.41614802,154.0,814.67018829,1678.06425641,0.0,2.0,2.0,0.0,0.0,0.13052619,0.99144486,0.0,1.0,0.41382489,1.36729538,0.41382489,1.36729538,0.41382489,1.36729538,0.36284003,0.42521902,0.40010764,0.40010764,0.40010764,0,low
2035-01-01T00:45:00Z,0.43327088,156.0,837.35149677,1659.65004732,0.0,3.0,3.0,0.0,0.0,0.19509032,0.98078528,0.0,1.0,0.41868639,2.05220964,0.41868639,1.64176771,0.41868639,1.64176771,0.36284003,0.41614802,0.40010764,0.40010764,0.40010764,0,low
2035-01-01T01:00:00Z,0.42175553,156.0,810.27059896,1743.60513984,0.0,4.0,4.0,0.0,0.0,0.25881905,0.96592583,0.0,1.0,0.42409836,2.51282357,0.41930022,1.67521572,0.41930022,1.67521572,0.82345396,0.43327088,0.40010764,0.40010764,0.40010764,0,low
2035-01-01T01:15:00Z,0.47812972,154.0,782.79114063,1647.47294914,0.0,5.0,5.0,0.0,0.0,0.32143947,0.94693013,0.0,1.0,0.43732604,3.76333607,0.42910513,2.72445224,0.42910513,2.72445224,0.82345396,0.42175553,0.42521902,0.40010764,0.40010764,0,low
2035-01-01T01:30:00Z,0.47901953,155.0,840.0656444,1719.55427069,0.0,6.0,6.0,0.0,0.0,0.38268343,0.92387953,0.0,1.0,0.45304391,3.43608811,0.43623576,2.40169175,0.43623576,2.40169175,0.46061393,0.47812972,0.41614802,0.40010764,0.40010764,0,low
2035-01-01T01:45:00Z,0.48623735,156.0,831.1472439,1733.91903984,0.0,7.0,7.0,0.0,0.0,0.44228869,0.89687274,0.0,1.0,0.46628553,3.03988682,0.44248596,2.26315399,0.44248596,2.26315399,0.46061393,0.47901953,0.43327088,0.40010764,0.40010764,0,low
2035-01-01T02:00:00Z,0.44062962,153.0,788.26557405,1652.33447612,0.0,8.0,8.0,0.0,0.0,0.5,0.8660254,0.0,1.0,0.47100405,4.40358215,0.4422797,2.76656229,0.4422797,2.76656229,1.82430925,0.48623735,0.42175553,0.40010764,0.40010764,0,low
2035-01-01T02:15:00Z,0.43159983,155.0,828.90355525,1736.87616692,0.0,9.0,9.0,0.0,0.0,0.55557023,0.83146961,0.0,1.0,0.45937158,2.50980579,0.44121171,2.64639899,0.44121171,2.64639899,2.18550075,0.44062962,0.47812972,0.40010764,0.40010764,0,low
2035-01-01T02:30:00Z,0.49631936,154.0,780.9865251,1655.57209049,0.0,10.0,10.0,0.0,0.0,0.60876143,0.79335334,0.0,1.0,0.46369654,5.06299501,0.4462215,3.28879283,0.4462215,3.28879283,2.18550075,0.43159983,0.47901953,0.40010764,0.40010764,0,low
2035-01-01T02:45:00Z,0.49470439,156.0,818.80347844,1752.66180608,0.0,11.0,11.0,0.0,0.0,0.65934582,0.75183981,0.0,1.0,0.4658133,4.83888092,0.45026174,3.31032579,0.45026174,3.05568535,2.25009963,0.49631936,0.48623735,0.40010764,0.40010764,0,low
2035-01-01T03:00:00Z,0.46622234,155.0,821.56152271,1712.39235359,0.0,12.0,12.0,0.0,0.0,0.70710678,0.70710678,0.0,1.0,0.47221148,4.15385377,0.4557713,3.6900865,0.45148948,3.16293128,1.56507249,0.49470439,0.44062962,0.40010764,0.40010764,0,low
2035-01-01T03:15:00Z,0.48954419,155.0,835.6203409,1649.05508601,0.0,13.0,13.0,0.0,0.0,0.75183981,0.65934582,0.0,1.0,0.48669757,4.72553626,0.46113173,3.66622604,0.45420767,3.20083559,1.20388099,0.46622234,0.43159983,0.42521902,0.40010764,0,low
2035-01-01T03:30:00Z,0.47033419,154.0,839.91816204,1686.15927945,0.0,14.0,14.0,0.0,0.0,0.79335334,0.60876143,0.0,1.0,0.48020128,2.90515505,0.46564724,3.80141272,0.45528277,3.19288339,1.97228107,0.48954419,0.49631936,0.41614802,0.40010764,0,low
2035-01-01T03:45:00Z,0.51181362,155.0,818.09132211,1621.61377577,0.0,15.0,15.0,0.0,0.0,0.83146961,0.55557023,0.0,1.0,0.48447858,4.49973368,0.47219247,4.12616714,0.45881595,3.39546143,1.90768219,0.47033419,0.49470439,0.43327088,0.40010764,0,low
2035-01-01T04:00:00Z,0.48795887,153.0,809.0105667,1659.69207577,0.0,16.0,16.0,0.0,0.0,0.8660254,0.5,0.0,1.0,0.48991272,4.31464186,0.47770942,4.29069259,0.46053024,3.41886697,1.72259036,0.51181362,0.46622234,0.42175553,0.40010764,0,low
2035-01-01T04:15:00Z,0.50868704,154.0,814.10891567,1710.73190188,0.0,17.0,17.0,0.0,0.0,0.89687274,0.44228869,0.0,1.0,0.49469843,4.21089489,0.48025586,3.81541231,0.46320562,3.41347966,1.72259036,0.48795887,0.48954419,0.47812972,0.40010764,0,low
2035-01-01T04:30:00Z,0.49283614,153.0,823.10882746,1737.00733939,0.0,18.0,18.0,0.0,0.0,0.92387953,0.38268343,0.0,1.0,0.50032392,4.07653085,0.48140725,4.01489364,0.46476512,3.36961288,1.58822632,0.50868704,0.47033419,0.47901953,0.40010764,1,medium
2035-01-01T04:45:00Z,0.50519417,153.0,801.54287348,1744.73274648,0.0,19.0,19.0,0.0,0.0,0.94693013,0.32143947,0.0,1.0,0.49866905,2.91167428,0.48298698,4.08342963,0.46678657,3.30331149,1.58822632,0.49283614,0.51181362,0.48623735,0.40010764,1,medium
2035-01-01T05:00:00Z,0.58481399,155.0,755.01111304,1578.41730602,0.0,20.0,20.0,0.0,0.0,0.96592583,0.25881905,0.0,1.0,0.52288284,5.14227703,0.49500234,4.53692422,0.47240693,3.73221425,0.63403603,0.50519417,0.48795887,0.44062962,0.40010764,1,medium
2035-01-01T05:15:00Z,0.55231214,155.0,815.94064905,1712.89939403,0.0,21.0,21.0,0.0,0.0,0.98078528,0.19509032,0.0,1.0,0.53378911,5.61322396,0.5050617,4.84988504,0.47603898,3.79604388,1.93410997,0.58481399,0.50868704,0.43159983,0.40010764,1,medium
2035-01-01T05:30:00Z,0.61907826,154.0,780.61815441,1610.59973591,0.0,22.0,22.0,0.0,0.0,0.99144486,0.13052619,0.0,1.0,0.56534964,7.64983271,0.51529161,4.87717287,0.48225808,4.08298285,1.30007394,0.55231214,0.49283614,0.49631936,0.40010764,1,medium
2035-01-01T05:45:00Z,0.61871111,154.0,828.58259992,1767.24791326,0.0,23.0,23.0,0.0,0.0,0.99785892,0.06540313,0.0,1.0,0.59372888,7.17019778,0.52562551,4.86053525,0.48794362,4.08543052,1.31475997,0.61907826,0.50519417,0.49470439,0.40010764,1,medium
2035-01-01T06:00:00Z,0.66052008,153.0,809.79534488,1625.92329057,0.0,24.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6126554,5.65776351,0.54181698,5.03822747,0.49879414,4.36415698,1.31475997,0.61871111,0.58481399,0.46622234,0.40010764,1,medium
2035-01-01T06:15:00Z,0.68834283,153.0,795.3757748,1688.84388515,0.0,25.0,25.0,0.0,0.0,0.99785892,-0.06540313,0.0,1.0,0.64666307,5.47059956,0.55838354,5.09823947,0.50975763,4.38223276,0.01468602,0.66052008,0.55231214,0.48954419,0.40010764,1,medium
2035-01-01T06:30:00Z,0.6824166,155.0,813.9524821,1748.07618204,0.0,26.0,26.0,0.0,0.0,0.99144486,-0.13052619,0.0,1.0,0.66249765,3.0370042,0.57605707,4.92112258,0.52085216,4.36126765,0.25173544,0.68834283,0.61907826,0.47033419,0.40010764,2,high
2035-01-01T06:45:00Z,0.70225607,155.0,817.92149258,1715.46231344,0.0,27.0,27.0,0.0,0.0,0.98078528,-0.19509032,0.0,1.0,0.68338389,3.81589726,0.59192728,4.63258977,0.53205987,4.37937846,0.23704942,0.6824166,0.61871111,0.51181362,0.40010764,1,medium
